Unnamed: 0,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date,neg,neu,pos,compound,sentiment
3540,"Nice video! I'm not familiar with your channel but saw the thumbnail/its length and clicked through - a few other ideas/resources to choose from that I think can be really helpful for beginners depending on how they like to learn:
---------------
1. Make a habit of partitioning off a small portion of your learning time to do some light reading on best practices - this is softer information and can often be more subjective than the harder skills, but it can be extremely helpful in adding context to why certain things are the way they are and potentially help save you some cleanup down the road (things like docstrings, virtual environments, project directory structure, etc). (Like everything else) this can be overwhelming and my advice would also be to choose one thing at a time and start trying to build it into your workflow - docstrings and virtual environments are both good examples of things that take a little getting used to but can feel very fluid after a short period of time and save a lot of headaches with package managers (+ if you're using vscode or PyCharm the autodocstrings are great and keep your time spent doing the things the machine can't, not playing with margins)
---------------
2. Listening to podcasts about the subject (IMO) is also extremely valuable and can be done on the go - even if as a beginner you don't understand much that they're talking about, hearing others talk about common problems before you get to them can help you understand what's happening more quickly whenever you do. Additionally, a huge part of this field is learning how to articulate the problem you're trying to solve for on google/stack, and listening to podcasts can help you learn how to articulate things better both verbally and in writing. I'm much less familiar with the R podcast landscape but for Python beginners, Talk Python To Me is great for slightly deeper dives into a specific problem domain and Python Bytes is good/fun weekly exposure to the evolving packaging landscape.
2.1 Quick addition to the above point, another thing it can really help with is understanding the extent to which most problems, particularly on the data processing/cleansing/wrangling front have already been solved for - I've often seen more novice programmers try to recreate the wheel at every turn and hearing more experienced people unpack how they approach problem solving can help save you from writing a script to do something that's part of a standard library.
---------------
3. Time spent finding the right resources is never time wasted - in addition to paid courses/etc, I'd encourage finding someone on Youtube/similar who does a good job of articulating things in a way that makes sense to you. Corey Schafer has a  fantastic Python channel covering everything from basics/best practices to end-to-end application development
---------------
4. Acknowledging that this would fall somewhere towards the latter half of the progression outlined in your video, I think it's super worth calling out that all the services we use personally have open APIs from which we can programmatically extract our data from and can be a great way to build out your mechanics in a fun/more personal way - it's also a natural and safer step towards web scraping since it's all the same communication protocol. Amongst many others, Spotify has a super user-friendly API and a well-supported helper library called Spotipy for anyone who might like this idea and be looking for a place to start Python beginnings to start learning how APIs work.
---------------
Again great video and I hope the data dump's welcomed:)",Ugyo30ljcYFJXIXeB-N4AaABAg,http://www.youtube.com/channel/UC5BUXmq73gKU5xsO470XkJA,Grant Murray,1,1,2020-06-15 16:57:16+00:00,4OZip0cgOho,1,How I Would Learn Data Science (If I Had to Start Over),2020-06-15,0.025,0.759,0.216,0.9992,positive
1254,"I swear some of the things you said reminded of some of the books you mention:

1. the importance of habits and 2. identity -> Those two go hand in hand together and, one best way to describe oneself is by what we do on a consistant basis. Hence if you can chance your habits, you can chance your identity. 
The growth mindset has been cited in many different book tough I have ""7 habits of highly successful people"". 

Motivation clearly sucks as a base strategy, since it's volatile. Don't get me wrong, it's good to have sometimes, but view it rather as a very good friend who has MANY friends, always willing to help, giving a lot of it when it can ... but who can't really always be there on account of having so many people to help .... Motivation is VERY popular these days if you catch my meaning ;)

Another thing about identity and accounting, and something I've talked about before, is to give yourself proof of what you've accomplished so far and what you are doing right now ... and a bullet journal, for this and feedback (since ppl won't always be there to give it to you) ... this is perfect for this. Make sure to add the proper tracker to it.

And when you feel one of those tracker, that's what Ken Jee here said about about fist pumping and being proud of yourself ... yep, it's very to do that with a tracker and a bullet journal. I can't tell you how many ""YES!!"" I've shouted when marking one ;)

PS:
#66daysofdata
If you watch that video with the intent of applying the advice here to your #66daysofdata ... you might be doing more than 66 of them, and good days they might be just saying ;) (I assume this should count for your challenge in that case). :)
PS2:
Haven't told you that before, but it seems we have something in common! -> https://www.youtube.com/watch?v=TnqZl_blT7E :P",UgwnenZftgjBXJiYlCJ4AaABAg,http://www.youtube.com/channel/UC9rpez4HdB40iFgTLbZS7yg,Daedalus Dream Journal,1,4,2020-09-11 18:21:53+00:00,jf3j0lWmFPU,1,The 5 Pillars of Success I Live By,2020-09-11,0.011,0.744,0.245,0.9981,positive
1681,"I am already in the process of taking not just the habits of doing ML every day (that's a requirement I think when you're beginning and new in the field) but als, recently, I started using my Bullet Journal to record my investment and progress into the field. 
And since I am still trying to sort out a few things both in tracking my progress and trying to establish a clearer road map, seeing this on my computer this morning came as an incredibly great blessing, thank you !!  :)
Now question: Could you and us the rest of your community also have some discussion on, say, Kaggle on regular basis? I feel like that, for newcomers like me, it would help navigate the kaggle ""maelstrom"" and be less intimidated, as well as having a clearer road map.
As for you, it would help you both reexamine your fundemantals through teaching as well as helping you establish yourself as a good, proficient teacher that has both passion for the field and is teaching it with the best of intentions. :)
And I assume when we, your followers and students, start becoming proficient and say 'Ken Jee was instrumental in this' ... well ... I am really hoping this will open doors for you, the best ones, just saying ;)",UgylkDrAKNgc0pO7m5V4AaABAg,http://www.youtube.com/channel/UC9rpez4HdB40iFgTLbZS7yg,Daedalus Dream Journal,1,0,2020-08-29 07:52:00+00:00,uXLnbdHMf8w,1,Why I'm Starting Data Science Over Again.,2020-08-29,0.013,0.69,0.297,0.9976,positive
2204,"This is a very important topic, I agree!
As you have said, using someone else's code is very common in DS or just tech in general,
however it is important to credit the people correctly.
Some people may think ""I could have written that code myself"", which can of course be true in some situations,
but I like to think that using code is at least somewhat comparable to quoting in literature.
If you use a normal sentence such as ""the weather was nice"" obviously you don't need to quote anyone.
But if you want to use a longer paragraph of text (or code, in that matter) it is very important to show the source.
Now in literature this is made pretty easy by placing quotation marks and just referencing the author but because code
stays below the surface in many areas plagiarism can go unnoticed for far longer, even though it is not less important to credit people in
tech than it is in literature.
Thank you for making this video and bringing a bit of light onto this topic, I think this is something which should be made very clear!

Edit: When writing I just noticed that it makes a lot of sense for one's self to give proper credit as well. As you said it makes people happy to see their code being used well. So if you give proper credit you not only make yourself feel good, because you did the right thing, but also the creator, because their work was used and they got credit. On the other hand, if you don't credit, you feel bad for plagiarizing and the other person becomes angry because of it. So giving proper credit is basically a win-win!",UgzdoraYnEIrmKc53jZ4AaABAg,http://www.youtube.com/channel/UCXOdh3pTBBovDXzkUkTuvKA,Boris Giba,1,1,2020-08-07 16:41:34+00:00,vQGJvmhpq_s,1,The Plagiarism Problem in Data Science,2020-08-07,0.027,0.733,0.24,0.9968,positive
4535,"it's beautiful how you are thankful for us but actually, we are happier and more thankful for you truly :) , you educated and inspired me and led me to great resources, also thank you because your work is not just useful but also beautiful and well made.
can't wait to reach my 5th not bad project and 10th nice project and 15th amazing project and look back at the journey, a journey full of learning and growing and amazing experiences.",Ugw-pxUESFI1lg1BP7h4AaABAg,http://www.youtube.com/channel/UCvCeM3rIuLYWeUlbint1PKw,kinza lanabi,1,1,2020-05-15 21:36:16+00:00,UcilY6HDuL8,1,10000 Subscriber and 100th Video Special (Data Science),2020-05-15,0.033,0.474,0.493,0.9963,positive
1251,"It is awesome and very motivating to see how you evolved so drastically!
Thank you a lot for sharing this;
about three years ago I also was mostly unproductive and did not get a lot of stuff done.
I have been continually trying to make small improvements and I have gotten a long way (but I still have an even longer way to go, of course!)

I really paused for a moment when you talked about the aspect of focus. I have been guilty in the past of trying to do 20 different things at the same time and as a result I have experienced dissatisfaction with the outcomes. I will try to narrow my goals down in the future and only focus on one (or very few) different things at a time.

When you said, that you don't think you have come far, I wanted to add one detail. I don't remember exactly where I have this ""way of thinking"" from, but it was very inspiring to me.
Even if you (as in ""you"" personally) do not feel that you have achieved ""that"" much, it can be motivating to think of people as a network in general. When someone focuses on their own success, they might see that they have done ""average"" or ""somewhat well"", but maybe their actions have affected someone else. And that person affects someone else (else). So while I know the feeling of always trying to achieve more and always wanting to be as successful as possible, I can definitely say that through your channel you have reached a lot of people. And maybe you have influenced 1% or 5% or even more of those people to do something. And maybe those 5% have influenced their own 5% and so on. 
I know for a fact that you have influenced me for the better and motivated me to start actively trying 66daysofdata and becoming more interested in habit building. So I wanted to say thank you, from me, and for everyone else you influenced at least a little bit. You're awesome! :)",UgzE2QT3VZIdeBME-bx4AaABAg,http://www.youtube.com/channel/UCXOdh3pTBBovDXzkUkTuvKA,Boris Giba,3,1,2020-09-11 18:55:47+00:00,jf3j0lWmFPU,3,The 5 Pillars of Success I Live By,2020-09-11,0.016,0.809,0.175,0.996,positive
1971,"Hello there :)

I haven't watched the full video yet, but there's a reason for this and is linked to a suggestion I'd like to propose to you for similar videos in the future:

Despite being very VERY green in this, I decided to have a first go at this all by myself ... and boy was and is it still frustrating :P The reason behind this was that I wanted to try a first attempt without a guiding hand. Once I finished my first model, I quickly realized that there were tons of ways where I blundered like a total noob ... which is actually totally fine :) And despite the frustration of the experience, it felt like I gathered valuable experience from this.

And it is only now that I am starting to watch this video .. but only bit by bit, as I want to try to do as much by myself as possible (mistake be damned since they are being done at home where it won't hurt anyone and where I can learn safely from the experience).

SO my suggestion is this:
Could it be possible for future similar videos to have it in several parts? Or, at the very least, to timestamp the different section of your handling of a particular problem? I feel like it could be very valuable, especially for very recent newcomers like me. 

Anyways, thanks a ton for your videos, very much appreciated ! (especially some of the code where you use apply and lambda functions to handle data transformations, this is definitely something that will be useful for me in the near and long future! :)

Signed:
A total newbie at this.",Ugznp8yBWv8W9EJOU4R4AaABAg,http://www.youtube.com/channel/UC9rpez4HdB40iFgTLbZS7yg,Daedalus Dream Journal,1,2,2020-08-18 18:35:32+00:00,I3FBJdiExcg,1,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-08-18,0.048,0.731,0.221,0.9955,positive
1840,"Hi Ken, Thank you very much for sharing these info!! I am following you as a guide for my Data Science journey, so I really appreciate everything you do! Currently I am an account Manager but I feel burning in me the love for data science. Data are my daily bread, so I would like to manage data in a deep way and creating new value by doing it.  I agree that the best way for learning Data Science is by doing projects, so do you think that the best could be finding projects for ""beginners"" on Kaggle or it could be better to do Kaggle projects without any kind of ""limit"" (so in this case just with the purpose of increasing skills by doing different kind of data analysis)?  Thank you again Ken and have a great day :)",Ugy2Dln0L4c2CiFMjA54AaABAg,http://www.youtube.com/channel/UCZCdaDH9dG_8KGTe0aJPYPg,Azhi ylo,2,0,2020-08-22 17:25:21+00:00,8igH8qZafpo,2,3 Proven Data Science Projects for Beginners (Kaggle),2020-08-22,0.0,0.685,0.315,0.9953,positive
2173,"Hello all and Mr. Ken Jee,

It is very humble of Mr. Ken to just have a light eye the  person who copied his work. I am a learning individual myself. I do visit kaggle and github but to just get an idea of how the person has solved the problem and then i take almost one to two weeks to come up with my own unique solution. Solving takes time. Learn from elders and create something on your own. Again Mr. Ken is being very much liberal here. But you will face a big issue when you go for Masters or research jobs. You will get caught and it won't look good. One other thing that Mr. Ken did not address of course he doesn't want to scare the young ones is that a company hold power to blacklist you after being caught of fraud. This means that you won't be able to apply for that company for upto 3 years or forever depending on the policy and also the company can suggest your blacklisted profiles to partner organizations and you will be totally **screwed**. 

Shadow learning is something very important to learn. Shadows learning suggests learning the first principles from others works . This means learning the thought process and not copying the core work. Most of the researchers have 2 ways of reaching a new success. One is making something better or creating something new. Shadow learning is something Einstein has done it himself. He worked as a clerk in a patent office for years going through the research papers or maxwell's , newtons , etc. Did he copy ? Absoluetly not. When he found out that he was a bit lagging in the math section of E=MC^2 he contacted maxwell for his expertise on the derivations. That's how we have Einsein-Maxwells Equation. See. Einstein himself wasn't shy of giving credit to the fellow scientists. Why should kids like us be shy of mentioning a partner or co worker or the sources name or the persons name ? 

Have an open mind like newton. Let the apple fall and create something new. 

Cheers and All the best . 
People are good but people who share credits are  great.
Peace!",UgzaGx3BiuVHLikqiWR4AaABAg,http://www.youtube.com/channel/UCwTNOvHusTm7uo-IZR_FAIQ,supreet chivukula,1,1,2020-08-08 06:31:38+00:00,vQGJvmhpq_s,1,The Plagiarism Problem in Data Science,2020-08-08,0.051,0.77,0.179,0.995,positive
1804,"I put this message here, since it's your last video. I was wondering if you will do a video on the following subject:

How to interact on kaggle to attract the attention of other people, the kind that are helpful and, likewise, how can a newbie, like me, make a contribution ourselves as beginners on kaggle.
And in general, what are the best ways to interact on the platform. 
I ask because I believe finding some form of mentor-ship from experienced people is one of biggest key or advantages you can get in learning any field, but ML in particular ( your youtube videos and frank kane courses from sundog are good example). 
Of course, gaining some kind of a more direct mentor-ship goes hand in hand with yourself being able to help and make contributions in return (which seems the whole philosophy being kaggle) so I was wondering if you would be willing to share a few secrets there. ( I fully admit that it looks a bit intimidating at first sight :) ).

In any case, thanks for your youtubes videos :)",Ugzgj4kbIK-hpGO7sUJ4AaABAg,http://www.youtube.com/channel/UC9rpez4HdB40iFgTLbZS7yg,Daedalus Dream Journal,1,0,2020-08-24 14:21:59+00:00,iGUiLWFDWfk,1,Don't Buy My Course..,2020-08-24,0.018,0.726,0.256,0.9935,positive
